p,minPageRank,maxPageRank
0.05,0.00992932,0.010059
0.1,0.00985869,0.010118
0.15,0.0097881,0.0101768
0.2,0.00971757,0.0102357
0.25,0.00964708,0.0102944
0.3,0.00957663,0.0103531
0.35,0.00950623,0.0104117
0.4,0.00943587,0.0104703
0.45,0.00936555,0.0105288
0.5,0.00929525,0.0105873
0.55,0.00922499,0.0106456
0.6,0.00915477,0.010704
0.65,0.00908458,0.0107622
0.7,0.00901442,0.0108204
0.75,0.00894431,0.0108786
0.8,0.00887421,0.0109367
0.85,0.00880414,0.0109948
0.9,0.0087341,0.0110527
0.95,0.00866409,0.0111107
